N	P	K	temperature	humidity	ph	rainfall	label
18	61	19	21.32331105	24.96969858	5.502999119	102.5667472	kidneybeans
69	55	22	26.54986394	62.7706376	5.693881647	92.1159518	maize
3	55	22	19.98322622	21.1023685	5.794744334	149.7441028	kidneybeans
31	59	20	29.94413861	60.09116626	6.730252311	39.57909912	lentil
2	16	12	27.08716979	92.64019228	6.4184307	103.2787462	orange
71	42	40	26.98582182	79.78570247	6.521191482	187.4736087	jute
11	37	22	31.99928579	61.87920435	8.322899669	74.44330654	mothbeans
8	18	11	34.90665289	93.12014881	7.918870711	111.499513	orange
44	70	76	20.99502153	17.20833703	6.874588554	77.26284865	chickpea
5	73	16	34.4016929	62.35634484	4.548202098	118.419402	pigeonpeas
83	27	55	25.60932312	83.40630698	6.414864678	40.12650421	watermelon
10	55	21	28.79606942	89.99615558	6.474290425	56.55823649	mungbean
101	49	23	24.46790711	76.59474683	5.851442789	98.35558121	cotton
14	24	15	33.26994794	93.09327667	7.737636882	111.6601598	orange
101	70	46	27.64545538	82.58342681	6.273543041	96.79366546	banana
90	40	45	26.38814323	82.57162747	6.065395835	246.0191335	rice
2	14	29	28.06231986	96.51998873	6.019940751	163.4740742	coconut
23	32	34	29.81212048	53.28919375	5.646457656	92.10898812	mango
29	125	198	41.0687032	80.79226786	5.740474121	66.6036011	grapes
44	56	49	39.23342464	91.25589286	6.519779583	64.4478499	papaya
98	26	52	27.33897716	90.69759008	6.150090899	28.69113835	muskmelon
49	73	78	20.21842197	14.25803981	8.160198015	77.34079936	chickpea
3	8	43	21.92395403	94.99897537	6.641532367	110.6296572	pomegranate
44	74	85	20.18649426	19.63719995	7.150681303	78.26039559	chickpea
105	22	50	26.64736813	81.23729413	6.475407921	50.33982582	watermelon
0	65	15	23.46168338	23.22197648	5.645435626	95.84253438	kidneybeans
79	54	39	25.25652608	82.14713319	5.888138415	234.2456454	rice
101	17	52	28.03003428	91.53619296	6.260555418	26.31558142	muskmelon
10	42	21	31.46521135	56.04486738	4.343877854	43.13347493	mothbeans
90	48	45	24.06475727	71.31342851	6.509174789	153.6390212	jute
58	66	49	28.12658911	91.77089955	6.925100396	196.1218676	papaya
12	143	200	21.41471523	91.08795475	5.769422598	110.6331776	apple
85	14	49	27.80035552	92.50832904	6.556000375	27.1900552	muskmelon
100	23	30	26.20258261	57.30526369	7.493191968	168.1316174	coffee
92	88	52	25.65588728	76.81117386	5.634930525	90.10978128	banana
134	41	20	22.98927696	77.1275439	6.368730065	80.34356966	cotton
30	129	205	20.91942273	82.42954186	6.170162713	71.13002462	grapes
95	45	37	21.50619015	84.36832888	6.987763285	237.7605312	rice
34	56	17	33.4126864	35.42910045	4.548202098	139.6702541	pigeonpeas
40	16	31	27.48207678	97.43823024	5.926419844	198.1454203	coconut
0	23	13	10.01081312	93.60957973	6.010391864	110.8327068	orange
33	68	17	22.82824301	56.84045202	7.445444883	111.551604	pigeonpeas
32	59	15	32.48320983	65.44476221	6.500144962	71.37652351	blackgram
53	57	52	36.65197966	92.10860342	6.685685883	191.4821531	papaya
0	67	15	23.34974875	30.40046769	6.616403829	166.5613556	pigeonpeas
107	10	53	26.12927531	88.21503072	6.617821806	45.1956617	watermelon
74	55	19	18.05033737	62.89366992	6.28886807	84.23613484	maize
82	43	22	24.58110792	68.52826614	5.732886191	81.87252309	maize
16	130	201	29.12033769	82.79092939	5.682395429	68.8503047	grapes
28	67	16	25.84614335	48.26814871	6.101417506	198.8298806	pigeonpeas
104	31	29	24.0351748	60.02442366	6.793179987	133.1010084	coffee
36	16	6	13.26659464	90.84392159	7.331420362	112.1059662	orange
94	30	46	25.57133775	84.76840213	6.652077887	40.76425257	watermelon
7	17	26	34.89226666	48.75613373	6.414526606	91.63074547	mango
27	43	23	31.04024659	64.95585424	7.336484942	71.77052419	mothbeans
24	67	16	24.61846963	68.64818322	6.899028388	50.49743896	lentil
108	89	53	29.12036889	80.18080728	5.908770059	112.3982055	banana
37	74	19	31.13284405	64.32801257	7.125733045	69.01277345	blackgram
98	18	27	27.56088634	68.49299897	6.516312148	167.4358075	coffee
61	44	36	24.55089113	82.06559253	7.038068574	150.2355238	jute
81	52	23	19.63688369	71.66159902	6.995843776	76.18444829	maize
74	50	19	20.42368905	72.89193679	5.851668891	84.30319374	maize
82	52	19	21.69975675	74.13108012	5.513697923	74.2780033	maize
83	60	20	19.50156059	71.69470402	6.201867809	76.86705848	maize
11	136	197	21.90788934	91.80055344	5.800633389	115.5106524	apple
21	12	33	28.006679	92.94823245	6.207230536	131.0900076	coconut
60	55	79	18.46446321	17.75977765	8.19998481	65.25911759	chickpea
114	93	54	25.01018457	82.24511247	5.920859775	104.1751419	banana
28	27	34	32.45465292	50.69693751	6.526654345	95.04871605	mango
33	60	15	28.95172351	81.67085323	6.510840928	56.51103293	mungbean
29	145	202	22.64775854	91.51003534	5.514253142	123.0073043	apple
39	57	19	29.32379604	45.93248374	6.421748487	165.4113371	pigeonpeas
40	73	22	25.94237381	44.71493836	5.777606227	167.1657671	pigeonpeas
36	67	80	20.25688817	17.2194116	8.868741443	74.74275344	chickpea
21	10	39	19.29328002	91.79773897	5.561851831	110.1982861	pomegranate
24	48	17	28.22336038	89.99615558	6.374603549	59.87232071	mungbean
31	70	22	26.35803298	66.29699437	7.390633584	49.79024676	lentil
28	27	32	28.94099669	93.00109012	5.764615485	191.7723087	coconut
116	40	33	24.91370487	54.15319242	7.042089492	129.5481144	coffee
14	57	17	23.56510546	43.37640832	5.473844746	143.6808298	pigeonpeas
9	69	23	25.18511021	45.35966418	6.642455674	145.0732805	pigeonpeas
26	14	34	26.40374624	90.01734526	5.830800673	181.3549753	coconut
61	44	17	26.10018422	71.57476937	6.931756558	102.2662445	maize
22	127	202	27.21542207	82.41274242	6.099572118	68.79207437	grapes
28	74	22	21.77140861	24.05654403	5.750367025	96.176464	kidneybeans
47	57	52	23.0124018	94.94482086	6.501521192	148.8479044	papaya
60	57	17	24.46772333	70.29372857	6.708449175	68.28441592	maize
64	51	15	26.54986394	65.64970762	6.916974594	60.65171481	maize
27	120	195	22.9040229	93.04496254	5.665262919	114.9189828	apple
91	45	15	23.40190172	58.88533134	6.855268479	89.21655737	maize
23	128	204	12.4127539	81.37624013	5.836974714	68.60943812	grapes
19	10	30	26.96572912	95.7098792	5.999621151	155.7532139	coconut
60	61	19	25.95302471	60.06534859	7.322565815	67.67614781	blackgram
101	70	48	25.36059237	75.03193255	6.012696655	116.5531455	banana
54	65	47	27.92765919	91.55594211	6.721835879	149.9107557	papaya
20	120	200	20.71496595	80.27981414	6.128533601	69.25011285	grapes
115	53	22	24.99471371	80.44688156	6.942838501	96.07967471	cotton
32	43	25	28.92151819	88.66582598	6.991882956	43.94958115	mungbean
14	22	45	19.43010799	89.27470858	6.352331835	104.2698088	pomegranate
35	125	204	19.6491772	80.15215777	6.107741788	73.69529586	grapes
82	14	45	25.62918361	88.18038034	6.627143894	55.73140507	watermelon
49	46	51	31.15764371	92.78392737	6.659011066	238.8579319	papaya
30	126	200	24.00775934	82.92692981	5.807744133	70.76757713	grapes
37	126	196	23.59997268	90.97597665	5.596449493	107.1728191	apple
67	40	21	21.81620784	59.06281496	6.234751252	78.09264932	maize
8	70	21	23.79747432	48.20885765	5.35506287	150.9483065	pigeonpeas
93	22	48	29.12533739	91.52291141	6.776987974	21.90440445	muskmelon
66	37	40	24.2951464	82.93946203	6.712334523	159.6868071	jute
40	58	25	21.18356793	20.00431349	5.538024631	111.9350054	kidneybeans
50	59	47	40.76998685	92.09278584	6.747975732	209.8678411	papaya
19	70	21	27.71872484	69.03577359	6.600850235	42.81731435	lentil
1	60	21	18.06723752	23.86914666	5.573945406	136.1565792	kidneybeans
67	42	42	23.90830952	70.88259632	7.354957785	199.8362913	jute
95	20	47	25.03492452	89.54748884	6.640898456	44.74894824	watermelon
20	120	197	22.35388213	93.30368218	6.175271943	108.2654882	apple
120	5	54	25.93375972	88.48214785	6.567829152	53.41157645	watermelon
58	55	47	26.05375792	93.69111672	6.742490027	240.6863901	papaya
26	70	22	22.95925323	64.6170551	6.970223457	46.28021544	lentil
25	78	76	17.48042641	15.7559405	7.228963452	66.96980581	chickpea
20	40	25	31.49872298	51.32649042	6.231147953	100.5580473	mango
30	38	20	28.86257838	85.92568778	6.893974584	41.229303	mungbean
82	49	42	26.98582182	87.01354379	6.816871334	161.8779632	jute
15	14	41	23.81393985	90.5904506	6.232370631	102.8693163	pomegranate
115	75	45	28.41508334	82.08592873	5.885871551	107.7591857	banana
32	41	16	28.63618921	61.39451307	7.702287236	68.54877876	mothbeans
86	46	35	26.32581254	84.31192352	6.474290307	172.4100722	jute
60	65	78	18.25539567	16.89082871	7.42856476	71.32011161	chickpea
31	65	15	21.20376353	19.39420162	5.987980017	103.9257947	kidneybeans
126	50	18	23.5027386	84.87668973	7.477587049	74.44902862	cotton
54	63	79	20.99502153	14.25803981	7.160716004	75.04530235	chickpea
30	132	196	22.63860679	94.47913441	5.844208082	102.490508	apple
